State,Class,System,International Roughness Index,Value
Wyoming,Total (miles),Overall,,7173.70244
Wisconsin,Total (miles),Overall,,11129.22519
West Virginia,Total (miles),Overall,,10369.79506
Washington,Total (miles),Overall,,20076.64505
Virginia,Total (miles),Overall,,15180.44696
Vermont,Total (miles),Overall,,3830.85219
Utah,Total (miles),Overall,,9457.84936
Texas,Total (miles),Overall,,88738.07213
Tennessee,Total (miles),Overall,,5070.01226
South Dakota,Total (miles),Overall,,14512.21992
South Carolina,Total (miles),Overall,,20917.02332
Rhode Island,Total (miles),Overall,,1709.31215
Pennsylvania,Total (miles),Overall,,27962.99138
Oregon,Total (miles),Overall,,8370.12134
Oklahoma,Total (miles),Overall,,15249.24892
Ohio,Total (miles),Overall,,29706.95234
North Dakota,Total (miles),Overall,,13979.73632
North Carolina,Total (miles),Overall,,22980.94729
New York,Total (miles),Overall,,27390.02117
New Mexico,Total (miles),Overall,,12115.10607
New Jersey,Total (miles),Overall,,7708.48403
New Hampshire,Total (miles),Overall,,3547.18447
Nevada,Total (miles),Overall,,7502.03268
Nebraska,Total (miles),Overall,,10091.5206
Montana,Total (miles),Overall,,12685.09438
Missouri,Total (miles),Overall,,30665.36707
Mississippi,Total (miles),Overall,,21792.0849
Minnesota,Total (miles),Overall,,31323.74503
Michigan,Total (miles),Overall,,32953.82588
Massachusetts,Total (miles),Overall,,4800.18407
Maryland,Total (miles),Overall,,8154.45565
Maine,Total (miles),Overall,,6338.359
Louisiana,Total (miles),Overall,,13024.43741
Kentucky,Total (miles),Overall,,13328.31041
Kansas,Total (miles),Overall,,16516.96314
Iowa,Total (miles),Overall,,5060.22596
Indiana,Total (miles),Overall,,24259.69578
Illinois,Total (miles),Overall,,30904.12744
Idaho,Total (miles),Overall,,4118.32362
Hawaii,Total (miles),Overall,,1553.707
Georgia,Total (miles),Overall,,31759.25448
Florida,Total (miles),Overall,,26452.88214
District of Columbia,Total (miles),Overall,,433.58349
Delaware,Total (miles),Overall,,1583.46253
Connecticut,Total (miles),Overall,,6339.7145
Colorado,Total (miles),Overall,,16272.22412
California,Total (miles),Overall,,40443.96908
Arkansas,Total (miles),Overall,,6483.30082
Arizona,Total (miles),Overall,,15306.80049
Alaska,Total (miles),Overall,,3389.20672
Alabama,Total (miles),Overall,,26211.39871
United States,Total (miles),Overall,,828887.715
Wyoming,Acceptable (miles),Overall,,6793.62727
Wisconsin,Acceptable (miles),Overall,,9180.50069
West Virginia,Acceptable (miles),Overall,,7147.69052
Washington,Acceptable (miles),Overall,,14608.10025
Virginia,Acceptable (miles),Overall,,13056.35739
Vermont,Acceptable (miles),Overall,,3164.93332
Utah,Acceptable (miles),Overall,,7393.94612
Texas,Acceptable (miles),Overall,,69296.61521
Tennessee,Acceptable (miles),Overall,,4800.0871
South Dakota,Acceptable (miles),Overall,,12497.28996
South Carolina,Acceptable (miles),Overall,,17131.16401
Rhode Island,Acceptable (miles),Overall,,849.19907
Pennsylvania,Acceptable (miles),Overall,,20422.66585
Oregon,Acceptable (miles),Overall,,7524.50413
Oklahoma,Acceptable (miles),Overall,,14245.13466
Ohio,Acceptable (miles),Overall,,24830.51903
North Dakota,Acceptable (miles),Overall,,13149.74281
North Carolina,Acceptable (miles),Overall,,19864.85429
New York,Acceptable (miles),Overall,,20097.64056
New Mexico,Acceptable (miles),Overall,,8293.14193
New Jersey,Acceptable (miles),Overall,,4081.80411
New Hampshire,Acceptable (miles),Overall,,2849.56884
Nevada,Acceptable (miles),Overall,,6412.35047
Nebraska,Acceptable (miles),Overall,,8966.91289
Montana,Acceptable (miles),Overall,,11200.48521
Missouri,Acceptable (miles),Overall,,23088.87391
Mississippi,Acceptable (miles),Overall,,15951.73939
Minnesota,Acceptable (miles),Overall,,26337.42915
Michigan,Acceptable (miles),Overall,,25870.60033
Massachusetts,Acceptable (miles),Overall,,3606.20904
Maryland,Acceptable (miles),Overall,,5953.1251
Maine,Acceptable (miles),Overall,,4900.366
